age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,previous,poutcome,y
58,blue-collar,married,secondary,no,602,yes,no,cellular,13,5,1,0,unknown,no
55,retired,married,secondary,no,4194,no,yes,telephone,30,7,3,0,unknown,no
56,self-employed,married,secondary,no,800,no,yes,cellular,9,7,1,0,unknown,no
28,technician,single,secondary,no,769,yes,no,cellular,15,5,1,2,failure,no
48,management,married,secondary,no,99,yes,no,unknown,28,5,1,0,unknown,no
57,technician,married,tertiary,no,27069,no,yes,unknown,20,6,3,0,unknown,no
36,management,single,secondary,no,0,no,no,cellular,13,8,5,0,unknown,no
40,management,married,tertiary,no,7780,no,no,telephone,4,5,1,1,other,no
52,services,married,secondary,no,-888,no,no,cellular,16,7,1,0,unknown,no
42,technician,single,tertiary,no,-411,yes,no,cellular,12,5,5,3,failure,no
68,retired,divorced,secondary,no,4189,no,no,telephone,14,7,2,0,unknown,yes
41,blue-collar,married,primary,no,1172,yes,no,unknown,15,5,1,0,unknown,no
29,admin.,single,secondary,no,1070,yes,no,unknown,19,5,1,1,other,yes
31,self-employed,married,tertiary,no,259,yes,no,cellular,7,5,1,0,unknown,no
43,technician,single,tertiary,no,1017,yes,no,unknown,19,5,2,0,unknown,no
30,unemployed,single,tertiary,no,302,no,no,cellular,11,2,3,0,unknown,yes
45,blue-collar,married,primary,no,0,no,no,unknown,23,5,5,0,unknown,no
35,student,single,unknown,no,0,no,no,telephone,28,1,3,0,unknown,no
37,services,single,secondary,no,1175,yes,no,cellular,15,5,1,2,failure,no
43,technician,divorced,secondary,no,167,no,no,cellular,4,8,3,0,unknown,no
34,admin.,married,tertiary,no,35,yes,no,cellular,15,10,1,2,failure,no
35,blue-collar,single,secondary,no,376,yes,yes,unknown,6,5,3,0,unknown,no
27,student,single,secondary,no,671,yes,no,unknown,7,5,2,0,unknown,no
51,blue-collar,married,secondary,no,397,yes,no,cellular,20,8,2,0,unknown,no
40,admin.,divorced,secondary,no,6,no,no,unknown,11,6,1,0,unknown,no
36,entrepreneur,married,primary,no,177,yes,no,unknown,12,5,5,0,unknown,no
24,management,single,tertiary,no,172,no,no,cellular,3,7,2,0,unknown,no
37,blue-collar,married,secondary,no,-67,no,no,cellular,2,2,1,0,unknown,no
59,management,divorced,tertiary,no,7813,yes,no,cellular,21,11,1,0,unknown,no
60,admin.,married,unknown,no,1088,yes,no,cellular,26,5,1,0,unknown,no
36,management,married,tertiary,no,495,no,no,cellular,12,3,3,6,success,yes
38,housemaid,married,primary,no,21,no,no,cellular,26,8,2,0,unknown,no
26,management,single,tertiary,no,1274,yes,no,cellular,1,6,1,1,failure,no
32,technician,single,tertiary,no,2204,yes,no,cellular,21,11,4,0,unknown,no
32,entrepreneur,divorced,secondary,no,1121,yes,yes,cellular,16,4,3,0,unknown,no
46,management,divorced,tertiary,no,743,no,no,unknown,5,6,2,0,unknown,no
39,admin.,divorced,secondary,no,399,yes,yes,cellular,14,8,2,0,unknown,no
52,blue-collar,married,secondary,no,161,yes,no,unknown,13,5,2,0,unknown,no
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,4,1,2,failure,no
43,technician,married,secondary,no,7876,yes,no,cellular,11,8,2,0,unknown,no
53,technician,married,unknown,no,619,no,no,unknown,17,6,6,0,unknown,no
40,services,divorced,secondary,no,-81,no,yes,cellular,23,7,1,0,unknown,no
34,management,married,tertiary,no,415,no,yes,cellular,23,7,2,0,unknown,no
44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,8,3,0,unknown,no
39,technician,married,secondary,no,6,yes,no,cellular,18,5,3,4,failure,no
46,management,divorced,tertiary,no,6269,yes,no,telephone,18,11,3,2,failure,no
21,student,single,secondary,no,6844,no,no,cellular,14,8,3,7,other,no
35,blue-collar,married,primary,no,298,yes,no,cellular,13,5,2,2,failure,no
38,technician,single,secondary,no,173,no,no,cellular,29,8,4,0,unknown,no
38,blue-collar,married,secondary,no,376,yes,no,unknown,7,5,1,0,unknown,no
44,admin.,single,secondary,no,2524,no,no,unknown,19,6,1,0,unknown,no
52,admin.,married,secondary,no,693,no,no,unknown,12,6,1,0,unknown,no
32,admin.,single,secondary,no,620,yes,no,unknown,26,5,3,0,unknown,yes
30,admin.,married,secondary,no,124,no,no,telephone,16,6,2,0,unknown,no
40,management,married,tertiary,no,-495,no,yes,cellular,29,7,2,0,unknown,no
39,blue-collar,married,primary,no,2226,yes,no,unknown,6,5,1,0,unknown,no
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,7,4,0,unknown,no
27,blue-collar,married,secondary,yes,-584,yes,no,cellular,7,5,2,0,unknown,no
57,management,married,secondary,no,82,no,yes,telephone,4,2,1,0,unknown,no
54,management,divorced,tertiary,no,7010,no,no,cellular,11,3,2,0,unknown,no
47,management,married,tertiary,no,6637,yes,no,cellular,17,4,2,0,unknown,no
80,retired,married,secondary,no,462,no,no,cellular,7,12,2,0,unknown,no
50,blue-collar,married,secondary,no,181,yes,no,cellular,17,4,2,0,unknown,no
57,technician,divorced,primary,no,13,yes,no,cellular,8,5,2,2,failure,no
39,management,married,secondary,no,0,yes,no,cellular,27,8,3,0,unknown,no
37,self-employed,married,secondary,no,4153,yes,no,cellular,31,7,16,0,unknown,no
31,blue-collar,single,primary,no,-280,no,no,unknown,21,5,3,0,unknown,no
36,unemployed,single,tertiary,no,9019,yes,no,unknown,11,6,3,0,unknown,no
57,services,married,tertiary,no,10,no,no,telephone,8,7,3,0,unknown,no
47,admin.,married,secondary,no,1060,yes,no,unknown,6,6,3,0,unknown,no
45,services,single,primary,no,1893,yes,no,unknown,3,6,6,0,unknown,yes
44,technician,single,secondary,no,7138,no,no,cellular,8,8,2,0,unknown,yes
26,management,single,tertiary,no,170,no,no,cellular,15,6,1,0,unknown,yes
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,2,1,0,unknown,no
29,services,married,secondary,no,3748,no,no,cellular,28,5,3,0,unknown,no
31,blue-collar,married,primary,no,620,no,no,cellular,30,3,1,0,unknown,no
52,technician,divorced,secondary,no,204,no,no,cellular,7,8,2,0,unknown,no
55,technician,married,secondary,no,0,yes,no,unknown,30,5,2,0,unknown,no
30,admin.,married,tertiary,no,0,yes,no,cellular,24,7,2,0,unknown,no
38,management,divorced,tertiary,no,4425,yes,no,unknown,30,5,1,0,unknown,no
38,entrepreneur,married,tertiary,no,228,yes,no,cellular,5,2,1,0,unknown,no
62,unknown,married,secondary,no,367,no,no,telephone,2,3,5,0,unknown,no
38,blue-collar,married,secondary,no,0,yes,no,cellular,13,5,5,1,other,no
41,blue-collar,married,secondary,no,641,yes,no,unknown,13,5,1,0,unknown,no
43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,11,1,0,unknown,no
39,blue-collar,married,unknown,no,157,yes,no,unknown,30,5,6,0,unknown,no
37,services,divorced,secondary,no,532,yes,no,unknown,11,6,1,0,unknown,no
38,admin.,divorced,tertiary,no,86,yes,no,unknown,6,5,1,0,unknown,no
49,entrepreneur,married,secondary,no,1916,no,yes,telephone,14,7,3,0,unknown,no
47,self-employed,married,secondary,no,1121,no,no,unknown,20,6,6,0,unknown,no
38,technician,single,secondary,no,258,no,yes,unknown,20,6,2,0,unknown,no
55,technician,divorced,secondary,no,3450,no,no,cellular,10,2,1,1,failure,yes
57,admin.,divorced,unknown,no,4012,no,no,cellular,20,11,1,0,unknown,no
40,housemaid,married,primary,no,1832,no,no,cellular,6,2,4,0,unknown,no
40,blue-collar,married,secondary,no,6767,yes,no,cellular,20,11,2,0,unknown,no
46,management,married,tertiary,no,1008,no,no,cellular,29,8,13,0,unknown,no
28,technician,single,secondary,no,1453,yes,no,cellular,12,5,1,1,other,no
34,technician,single,secondary,no,105,yes,no,cellular,7,5,2,3,failure,no
31,blue-collar,married,secondary,no,1243,yes,no,unknown,21,5,1,0,unknown,no
32,technician,single,tertiary,no,13711,yes,no,cellular,14,5,1,3,success,no
30,management,single,tertiary,no,7845,yes,no,unknown,3,6,1,0,unknown,no
31,services,single,secondary,no,1987,yes,no,telephone,20,11,2,0,unknown,no
38,entrepreneur,married,tertiary,no,0,yes,no,cellular,18,11,3,0,unknown,no
54,technician,married,secondary,no,0,no,no,telephone,16,11,1,8,failure,no
31,management,married,tertiary,no,0,no,no,unknown,14,5,1,0,unknown,no
32,blue-collar,single,secondary,no,33,yes,no,cellular,18,5,1,4,failure,no
49,blue-collar,married,secondary,no,-454,yes,no,cellular,14,5,1,0,unknown,yes
44,technician,single,secondary,no,1679,no,no,telephone,20,10,1,0,unknown,yes
44,technician,divorced,secondary,no,-329,yes,no,unknown,7,5,1,0,unknown,no
57,admin.,married,tertiary,no,46,no,no,cellular,7,8,2,0,unknown,no
40,blue-collar,married,secondary,no,1012,yes,no,cellular,6,5,1,0,unknown,no
32,services,married,secondary,no,-632,yes,yes,cellular,20,4,5,0,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,28,1,1,1,other,no
29,student,single,secondary,no,872,yes,no,unknown,7,5,1,0,unknown,no
46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,5,1,0,unknown,no
36,technician,divorced,secondary,no,487,no,yes,cellular,11,8,3,0,unknown,no
48,services,married,secondary,no,1355,no,no,cellular,4,7,2,0,unknown,no
42,management,single,tertiary,no,10907,no,no,cellular,4,5,3,0,unknown,no
47,admin.,divorced,secondary,no,162,yes,no,unknown,9,5,4,0,unknown,no
58,retired,married,secondary,no,983,no,no,cellular,5,8,1,0,unknown,no
45,technician,married,secondary,no,2571,no,no,unknown,18,6,2,0,unknown,no
29,management,single,tertiary,no,5980,yes,no,unknown,28,5,1,0,unknown,no
27,services,single,secondary,no,54,yes,no,unknown,28,5,2,0,unknown,yes
40,technician,single,tertiary,no,825,yes,no,cellular,20,4,1,1,other,no
39,technician,married,tertiary,no,14,no,no,cellular,28,1,2,0,unknown,no
51,management,married,tertiary,no,-15,no,no,cellular,25,7,2,0,unknown,no
57,services,single,primary,no,3777,yes,no,telephone,13,5,2,0,unknown,no
39,blue-collar,married,secondary,no,1367,no,no,unknown,12,6,1,0,unknown,no
47,services,married,secondary,no,2322,no,no,cellular,22,8,1,0,unknown,no
41,blue-collar,single,secondary,no,428,yes,no,cellular,12,5,1,0,unknown,no
58,unemployed,married,tertiary,no,1798,yes,no,cellular,5,2,8,0,unknown,no
29,management,single,tertiary,no,572,no,no,cellular,16,12,1,1,success,yes
30,self-employed,married,secondary,no,1772,yes,no,cellular,13,4,4,0,unknown,no
32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,7,3,0,unknown,no
28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,4,1,1,failure,no
30,services,single,secondary,no,3485,no,no,cellular,2,2,2,0,unknown,no
40,blue-collar,married,primary,no,1397,yes,no,telephone,12,5,2,1,failure,no
27,services,single,secondary,no,-151,no,no,cellular,8,7,2,0,unknown,no
48,admin.,divorced,secondary,no,4099,no,no,cellular,2,4,2,0,unknown,yes
43,technician,married,secondary,no,50,no,no,unknown,28,5,1,0,unknown,no
32,blue-collar,married,secondary,no,759,yes,no,cellular,9,4,5,0,unknown,yes
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,5,1,0,unknown,no
46,housemaid,married,primary,no,0,no,no,telephone,2,2,1,0,unknown,no
52,technician,married,secondary,no,64,no,no,telephone,29,8,2,0,unknown,no
40,blue-collar,married,primary,yes,0,yes,no,unknown,6,5,2,0,unknown,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,6,4,0,unknown,no
35,technician,single,tertiary,no,2288,no,no,telephone,28,5,2,0,unknown,no
53,services,divorced,secondary,no,0,no,no,cellular,12,3,2,0,unknown,yes
38,management,married,tertiary,no,0,yes,no,cellular,13,5,5,2,failure,no
65,unknown,married,unknown,no,4717,no,no,telephone,6,8,1,0,unknown,yes
57,retired,married,primary,no,2927,no,yes,telephone,30,7,5,0,unknown,no
37,services,married,secondary,no,658,yes,no,telephone,23,7,1,0,unknown,no
39,technician,married,secondary,no,3663,no,no,cellular,11,8,3,0,unknown,no
41,management,married,tertiary,no,51,no,no,cellular,25,8,8,0,unknown,no
38,blue-collar,married,primary,no,2569,no,no,unknown,9,6,1,0,unknown,no
50,unemployed,divorced,secondary,no,32,no,no,cellular,4,8,2,0,unknown,no
26,admin.,married,secondary,no,2469,no,no,cellular,16,7,8,0,unknown,no
57,blue-collar,married,primary,no,179,no,no,unknown,9,6,3,0,unknown,no
56,unemployed,married,primary,no,3391,no,no,cellular,21,4,1,0,unknown,yes
48,technician,married,secondary,no,340,yes,no,cellular,28,1,2,0,unknown,no
32,management,single,tertiary,no,151,yes,no,unknown,6,5,1,0,unknown,no
36,retired,single,secondary,no,101,yes,yes,unknown,26,5,1,0,unknown,no
41,blue-collar,divorced,secondary,no,174,yes,no,cellular,14,5,2,1,other,no
28,technician,single,secondary,no,2034,yes,no,unknown,21,5,1,0,unknown,no
60,technician,single,primary,no,11262,no,no,cellular,26,8,1,0,unknown,yes
46,housemaid,married,primary,no,19,yes,no,telephone,21,7,1,0,unknown,no
23,student,married,tertiary,yes,-230,yes,no,cellular,18,5,2,0,unknown,no
41,technician,married,secondary,no,351,yes,no,cellular,9,7,1,0,unknown,no
45,entrepreneur,married,secondary,no,245,yes,no,unknown,14,5,3,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,16,4,1,4,other,yes
57,retired,married,primary,no,1238,yes,no,cellular,15,7,1,0,unknown,no
48,technician,married,secondary,no,7020,no,no,cellular,6,8,2,0,unknown,no
37,technician,married,unknown,no,47,no,no,unknown,19,6,3,0,unknown,no
45,blue-collar,married,primary,no,419,no,no,cellular,18,8,4,0,unknown,no
35,blue-collar,married,secondary,no,305,yes,no,cellular,18,5,7,25,failure,no
31,admin.,single,secondary,no,-407,no,yes,cellular,7,7,1,0,unknown,no
30,technician,single,tertiary,no,1922,yes,no,cellular,18,5,1,0,unknown,no
40,blue-collar,married,secondary,no,952,no,yes,unknown,12,6,1,0,unknown,no
51,management,single,tertiary,yes,-55,yes,no,cellular,11,5,2,6,failure,no
30,unemployed,single,secondary,yes,-770,yes,no,unknown,28,5,1,0,unknown,no
51,housemaid,divorced,secondary,no,9228,no,no,cellular,18,7,4,0,unknown,yes
58,management,married,tertiary,no,16264,no,no,telephone,17,11,3,0,unknown,no
27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,7,3,0,unknown,no
39,management,divorced,tertiary,no,26,no,no,unknown,18,6,5,0,unknown,no
40,technician,divorced,tertiary,no,1871,yes,no,cellular,17,11,1,0,unknown,no
42,technician,single,secondary,no,275,no,no,cellular,26,8,8,0,unknown,no
38,management,married,tertiary,no,389,yes,no,unknown,6,5,1,0,unknown,no
59,retired,married,unknown,no,0,no,no,unknown,8,5,6,0,unknown,no
42,blue-collar,married,primary,no,969,yes,no,cellular,13,5,1,0,unknown,no
40,services,married,secondary,no,113,yes,no,unknown,4,6,1,0,unknown,no
30,blue-collar,single,secondary,no,75,yes,no,unknown,16,5,1,0,unknown,no
28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,9,1,14,success,yes
47,blue-collar,married,primary,no,214,yes,yes,unknown,9,6,1,0,unknown,no
57,management,married,tertiary,no,2416,no,no,cellular,11,8,2,0,unknown,no
30,management,single,tertiary,no,604,no,yes,cellular,2,2,1,0,unknown,no
51,housemaid,married,primary,no,30,yes,no,cellular,14,7,2,0,unknown,no
39,admin.,divorced,secondary,no,83,yes,no,cellular,30,7,6,0,unknown,no
51,blue-collar,married,primary,no,844,yes,no,unknown,29,5,3,0,unknown,no
40,management,married,tertiary,no,5,yes,no,cellular,18,11,3,0,unknown,no
68,retired,married,secondary,no,19317,yes,no,cellular,4,8,1,0,unknown,yes
51,blue-collar,married,secondary,no,160,yes,no,cellular,7,5,1,1,failure,no
35,technician,married,secondary,no,0,yes,no,cellular,9,11,1,5,success,yes
40,technician,married,secondary,no,-396,yes,no,unknown,26,5,1,0,unknown,no
29,management,single,tertiary,no,15459,no,no,cellular,26,5,3,7,success,no
45,admin.,married,primary,no,542,no,no,cellular,11,5,5,3,other,no
33,entrepreneur,married,secondary,no,-118,yes,yes,unknown,27,5,3,0,unknown,no
29,technician,single,secondary,no,103,no,no,unknown,19,5,1,0,unknown,no
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,5,1,2,other,no
39,management,divorced,tertiary,no,3575,no,yes,cellular,18,8,3,0,unknown,no
44,management,married,tertiary,no,22,yes,no,cellular,6,8,2,0,unknown,no
57,retired,married,secondary,no,49,yes,yes,cellular,25,8,4,0,unknown,no
56,retired,divorced,primary,no,694,no,no,cellular,29,1,1,1,other,yes
35,management,single,tertiary,no,0,no,yes,cellular,14,8,4,0,unknown,no
32,services,single,secondary,no,133,no,no,cellular,15,4,1,0,unknown,yes
32,technician,single,secondary,no,2979,no,no,cellular,25,5,1,0,unknown,no
26,management,single,tertiary,no,592,no,no,telephone,29,1,2,1,other,no
60,retired,divorced,secondary,no,598,no,yes,cellular,8,7,1,0,unknown,no
34,management,single,unknown,no,1534,yes,no,cellular,16,4,1,7,other,no
51,retired,divorced,secondary,no,343,yes,no,unknown,30,5,2,0,unknown,no
38,entrepreneur,married,tertiary,no,6704,yes,no,unknown,21,5,2,0,unknown,no
